disease,v_species,v_group,evidence_level,evidence_basis,location,source,notes,record_source
dengue,Aedes aegypti,mosquito,confirmed,review,Americas,Jones et al. 2020,experimentally competent and field infection observed,lit_review
dengue,Aedes albopictus,mosquito,confirmed,review,Americas,Jones et al. 2020,experimentally competent and field infection observed,lit_review
dengue,Culex quinquefasciatus,mosquito,weak,review,Americas,Jones et al. 2020,field infection only not experimentally competent,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,,Kristan et al. 2025,principal vector,lit_review
dengue,Aedes albopictus,mosquito,probable,review,,Kristan et al. 2025,secondary vector,lit_review
dengue,Aedes mediovittatus,mosquito,probable,lab,Puerto Rico,Poole-Smith et al. 2015,secondary vector,lit_review
dengue,Aedes aegypti,mosquito,confirmed,lab,Puerto Rico,Poole-Smith et al. 2015,primary vector,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,global,Rakotonirina et al. 2022,primary vector,lit_review
dengue,Aedes albopictus,mosquito,confirmed,review,global,Rakotonirina et al. 2022,primary vector,lit_review
dengue,Aedes polynesiensis,mosquito,confirmed,review,Pacific region,Rakotonirina et al. 2022,main vector,lit_review
dengue,Aedes scutellaris,mosquito,candidate,review,Pacific region,Rakotonirina et al. 2022,highly suspected,lit_review
dengue,Aedes pseudoscutellaris,mosquito,candidate,review,Pacific region,Rakotonirina et al. 2022,highly suspected,lit_review
dengue,Aedes malayensis,mosquito,confirmed,review,,Rakotonirina et al. 2022,vector of DENV and CHIKV,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,WHO European region,Schaffner and Mathis 2014,principal vector,lit_review
dengue,Aedes albopictus,mosquito,probable,review,WHO European region,Schaffner and Mathis 2014,main established vector,lit_review
dengue,Aedes cretinus,mosquito,candidate,review,Greece and Turkey,Schaffner and Mathis 2014,potential vector,lit_review
