species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
nectarinia amethystina,0,0.65,0.65,0.65,0.65,0.65,0.325,0,1,1,0.5,0,0,0,0,0,0
nectarinia asiatica,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0.65,0.65,0.325,0.325,0,0
nectarinia aspasia,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0.65,0,0.325,0,0,0
nectarinia balfouri,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0
nectarinia bannermani,0,1,1,1,1,1,0.5,0,0.25,0.25,0.125,0,0,0,0,0,0
nectarinia batesi,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
nectarinia bifasciata,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0,0
nectarinia bocagii,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0.325,1,1,0.65,0.65,0,0.65,0.325,0,0.65
nectarinia bouvieri,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0.65,0.325,0.325,0.325,0.65
nectarinia buettikoferi,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
nectarinia calcostetha,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0.65,0.65,0.325,0.325,0,0
nectarinia chalcomelas,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0
nectarinia chalybea,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.65,0.65,0.325,0.65,0,0.325,0,0,0
nectarinia chloropygia,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0
nectarinia coccinigaster,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.325,0.325,0,0
nectarinia comorensis,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0
nectarinia congensis,1,1,1,1,1,1,0.5,0,0,0,0,1,0,0,0,0,0
nectarinia coquerellii,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0,0,0,0,0,0
nectarinia cuprea,0.65,0.65,0.65,0.65,0.65,0.65,1,1,1,1,0.5,0.65,0.65,0.65,0.325,0,0.65
nectarinia cyanolaema,0,1,1,1,1,1,0.5,0,0.25,0.25,0.325,0,0.65,0.65,0.325,0,0.65
nectarinia dussumieri,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0.65,0.325,0.325,0,0
nectarinia erythrocerca,0.65,0,0,0,0,0,0,0.325,0.65,0.65,0.65,0.65,0,0.325,0,0,0
nectarinia famosa,0,0,0,0,0,0,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
nectarinia fuelleborni,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0,0,0.325,0,0.325,0.325
nectarinia fuliginosa,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0,0
nectarinia fusca,0,0,0,0,0,0,0.65,0.65,0.65,0.65,1,0,0.65,0.325,0.325,0,0.65
nectarinia habessinica,0.65,0,0,0,0,0,1,1,0.5,0,0.325,0.65,0.65,0.325,0.325,0,0.65
nectarinia hartlaubii,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0.65,0.325,0.325,0,0
nectarinia humbloti,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0,0.325,0,0,0
nectarinia hunteri,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0,0,0,0,0,0
nectarinia johannae,0,1,1,1,1,1,0.5,0,0,0,0.125,0,0.25,0.125,0.125,0,0
nectarinia johnstoni,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,1,0,0,0,0,0.5,0.5
nectarinia jugularis,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0.65,0.65,0.325,0.325,0,0
