analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,source_pathogens,in_current_role_review_scope,in_gibb_etal,in_empres_i,taxonomy_caution
master_12,Nipah virus disease,Nipah virus disease,Scotophilus kuhlii,153297,mammalia,chiroptera,vespertilionidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Sus scrofa,9823,mammalia,artiodactyla,suidae,Isolation/Observation; Not specified; PCR/Sequencing,amplifying_host,high,FALSE,draft_source_backed,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Sus scrofa,9825,mammalia,artiodactyla,suidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,cynopterus sphinx,9400,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,eidolon dupreanum,58063,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,epomophorus gambianus,372077,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,pteropus pumilus,161598,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,pteropus rodricensis,77216,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,pteropus rufus,196297,,,,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,pteropus sp.,1562770,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Accipiter cooperii,261198,aves,accipitriformes,accipitridae,Isolation/Observation; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Alphainfluenzavirus influenzae (H5N1),TRUE,TRUE,TRUE,FALSE
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Accipiter nisus,211598,aves,accipitriformes,accipitridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Alphainfluenzavirus influenzae (H5N1),TRUE,TRUE,TRUE,FALSE
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Accipiter striatus,56330,aves,accipitriformes,accipitridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Alphainfluenzavirus influenzae (H5N1),TRUE,TRUE,TRUE,FALSE
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Accipiter trivirgatus,210844,aves,accipitriformes,accipitridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Alphainfluenzavirus influenzae (H5N1),TRUE,TRUE,TRUE,FALSE
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Acerodon celebensis,58057,mammalia,chiroptera,pteropodidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Alphainfluenzavirus influenzae (H5N1),TRUE,TRUE,TRUE,FALSE
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Acinonyx jubatus,32536,mammalia,carnivora,felidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Alphainfluenzavirus influenzae (H5N1),TRUE,TRUE,TRUE,FALSE
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aechmophorus occidentalis,57236,aves,podicipediformes,podicipedidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Alphainfluenzavirus influenzae (H5N1),TRUE,TRUE,TRUE,FALSE
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aegypius monachus,8959,aves,accipitriformes,accipitridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Alphainfluenzavirus influenzae (H5N1),TRUE,TRUE,TRUE,FALSE
